Episode,Score,Epsilon,MaxTile
890,225.19,0.05,128
891,221.89,0.05,128
892,171.48,0.05,128
893,79.46,0.05,64
894,-12.2,0.05,64
895,239.12,0.05,128
896,174.71,0.05,64
897,140.78,0.05,128
898,55.64,0.05,128
899,239.17,0.05,128
900,272.44,0.05,128
901,247.47,0.05,64
902,67.04,0.05,64
903,139.23,0.05,256
904,165.07,0.05,64
905,314.44,0.05,256
906,184.1,0.05,128
907,261.12,0.05,128
908,185.93,0.05,128
909,75.14,0.05,64
910,-8.98,0.05,64
911,321.83,0.05,128
912,84.66,0.05,64
913,217.29,0.05,128
914,11.34,0.05,128
915,97.9,0.05,64
916,18.99,0.05,128
917,126.36,0.05,32
918,159.07,0.05,64
919,193.94,0.05,128
920,220.63,0.05,128
921,92.6,0.05,32
922,72.02,0.05,128
923,125.04,0.05,64
924,188.81,0.05,256
925,105.25,0.05,128
926,52.87,0.05,64
927,231.18,0.05,256
928,128.69,0.05,128
929,63.66,0.05,64
930,300.86,0.05,128
931,163.65,0.05,128
932,124.87,0.05,128
933,145.66,0.05,64
934,158.59,0.05,64
935,132.25,0.05,32
936,139.52,0.05,128
937,133.34,0.05,128
938,238.29,0.05,128
939,122.11,0.05,64
940,94.77,0.05,64
941,34.81,0.05,128
942,17.3,0.05,64
943,173.57,0.05,64
944,160.39,0.05,128
945,232.31,0.05,128
946,204.21,0.05,128
947,354.93,0.05,256
948,168.25,0.05,128
949,273.01,0.05,128
950,112.19,0.05,64
951,2.32,0.05,128
952,113.05,0.05,32
953,317.39,0.05,128
954,114.8,0.05,128
955,135.65,0.05,64
956,309.93,0.05,128
957,17.06,0.05,128
958,191.2,0.05,128
959,214.71,0.05,128
960,190.18,0.05,64
961,71.46,0.05,64
962,71.91,0.05,128
963,134.84,0.05,64
964,135.1,0.05,64
965,179.71,0.05,128
966,42.12,0.05,64
967,-36.1,0.05,64
968,230.4,0.05,128
969,228.98,0.05,256
970,233.97,0.05,256
971,183.8,0.05,64
972,-129.93,0.05,128
973,92.18,0.05,64
974,165.98,0.05,256
975,157.57,0.05,64
976,232.83,0.05,128
977,168.03,0.05,128
978,29.16,0.05,64
979,61.89,0.05,128
980,168.23,0.05,128
981,151.0,0.05,64
982,121.15,0.05,64
983,-44.9,0.05,64
984,282.94,0.05,128
985,0.71,0.05,128
986,96.25,0.05,64
987,208.88,0.05,64
988,240.74,0.05,256
989,71.63,0.05,128
990,-246.04,0.05,128
991,127.18,0.05,64
992,9.29,0.05,64
993,185.67,0.05,64
994,211.47,0.05,128
995,297.08,0.05,128
996,152.22,0.05,128
997,181.64,0.05,64
998,85.59,0.05,32
999,263.34,0.05,128
1000,199.25,0.05,64
1001,186.6,0.05,128
1002,64.1,0.05,64
1003,89.34,0.05,64
1004,180.78,0.05,64
1005,238.96,0.05,128
1006,101.86,0.05,128
1007,238.31,0.05,128
1008,-106.29,0.05,64
1009,107.4,0.05,128
1010,132.83,0.05,64
1011,99.88,0.05,32
1012,129.12,0.05,32
1013,54.77,0.05,128
1014,180.24,0.05,128
1015,63.84,0.05,64
1016,129.9,0.05,64
1017,-16.78,0.05,64
1018,140.59,0.05,64
1019,-27.46,0.05,32
1020,74.39,0.05,128
1021,172.83,0.05,64
1022,-8.98,0.05,128
1023,112.94,0.05,64
1024,-1.75,0.05,64
1025,-215.42,0.05,128
1026,146.61,0.05,64
1027,0.51,0.05,128
1028,89.81,0.05,64
1029,81.36,0.05,64
1030,94.72,0.05,128
1031,37.7,0.05,64
1032,121.47,0.05,64
1033,116.32,0.05,128
1034,123.56,0.05,64
1035,34.74,0.05,64
1036,188.46,0.05,128
1037,144.52,0.05,128
1038,231.61,0.05,128
1039,97.41,0.05,128
1040,200.37,0.05,128
1041,265.71,0.05,128
1042,216.14,0.05,128
1043,180.4,0.05,64
1044,-66.8,0.05,128
1045,65.73,0.05,128
1046,74.98,0.05,32
1047,45.7,0.05,128
1048,110.09,0.05,32
1049,-61.78,0.05,128
1050,-134.26,0.05,128
1051,113.25,0.05,128
1052,99.13,0.05,64
1053,154.26,0.05,64
1054,29.33,0.05,64
1055,98.73,0.05,32
1056,219.99,0.05,128
1057,0.03,0.05,64
1058,-12.03,0.05,128
1059,201.02,0.05,128
1060,28.47,0.05,64
1061,130.23,0.05,128
1062,58.79,0.05,32
1063,120.72,0.05,64
1064,66.89,0.05,128
1065,221.33,0.05,256
1066,151.37,0.05,64
1067,111.45,0.05,128
1068,-17.72,0.05,64
1069,-28.91,0.05,128
1070,114.25,0.05,128
1071,70.8,0.05,64
1072,194.94,0.05,128
1073,65.47,0.05,64
1074,225.32,0.05,256
1075,82.58,0.05,64
1076,91.57,0.05,64
1077,-6.56,0.05,64
1078,36.83,0.05,64
1079,0.44,0.05,64
1080,56.93,0.05,128
1081,8.54,0.05,32
1082,133.18,0.05,64
1083,68.89,0.05,128
1084,81.54,0.05,64
1085,46.25,0.05,64
1086,119.84,0.05,64
1087,180.61,0.05,64
1088,131.63,0.05,64
1089,98.87,0.05,128
1090,207.9,0.05,128
1091,45.18,0.05,128
1092,170.5,0.05,128
1093,221.99,0.05,64
1094,26.86,0.05,128
1095,107.51,0.05,32
1096,131.86,0.05,64
1097,144.24,0.05,128
1098,72.31,0.05,128
1099,124.68,0.05,64
1100,91.63,0.05,32
1101,63.41,0.05,64
1102,68.74,0.05,32
1103,-71.29,0.05,64
